transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00729,2026-01-01T11:05:38Z,74.06,fuel,DE,False,False
txn_0000001,card_00501,2026-01-01T12:07:37Z,8.91,electronics,AE,False,False
txn_0000002,card_00550,2026-01-05T11:07:11Z,44.67,atm_withdrawal,IN,True,False
txn_0000003,card_00141,2026-01-09T15:29:30Z,85.8,atm_withdrawal,GB,False,False
txn_0000004,card_00239,2026-01-11T12:30:53Z,85.4,restaurant,IN,True,False
txn_0000005,card_00642,2026-01-24T16:27:04Z,63.01,online_retail,DE,False,False
txn_0000006,card_00618,2026-01-17T23:14:28Z,596.27,pharmacy,DE,True,True
txn_0000007,card_00761,2026-01-11T12:55:55Z,21.69,grocery,AE,False,False
txn_0000008,card_00619,2026-01-29T01:04:09Z,26.43,entertainment,GB,True,False
txn_0000009,card_00755,2026-01-14T22:37:47Z,67.43,travel,IN,False,False
txn_0000010,card_00790,2026-01-16T03:16:20Z,13.82,entertainment,GB,True,False
txn_0000011,card_00209,2026-01-21T21:23:17Z,94.37,atm_withdrawal,IN,True,False
txn_0000012,card_00082,2026-01-01T07:20:15Z,110.59,online_retail,US,True,False
txn_0000013,card_00683,2026-01-20T10:08:07Z,17.51,fuel,AE,True,False
txn_0000014,card_00253,2026-01-11T12:51:06Z,45.5,pharmacy,DE,True,False
txn_0000015,card_00162,2026-01-18T11:51:05Z,60.77,fuel,GB,True,False
txn_0000016,card_00813,2026-01-16T13:37:17Z,41.17,atm_withdrawal,SG,False,False
txn_0000017,card_00727,2026-01-28T01:19:19Z,34.0,pharmacy,DE,True,False
txn_0000018,card_00036,2026-01-30T03:48:18Z,169.06,fuel,US,True,False
txn_0000019,card_00300,2026-01-03T03:18:40Z,6.99,electronics,AE,False,False
txn_0000020,card_00011,2026-01-09T04:07:45Z,313.33,restaurant,AE,True,False
txn_0000021,card_00515,2026-01-25T02:30:50Z,9.59,electronics,IN,True,False
txn_0000022,card_00121,2026-01-10T05:00:31Z,192.14,fuel,IN,False,False
txn_0000023,card_00190,2026-01-10T15:34:51Z,35.07,fuel,IN,False,False
txn_0000024,card_00671,2026-01-30T10:48:46Z,23.3,pharmacy,IN,True,False
txn_0000025,card_00865,2026-01-12T21:39:31Z,6.42,pharmacy,IN,False,False
txn_0000026,card_00202,2026-01-08T16:26:54Z,83.96,fuel,DE,False,False
txn_0000027,card_00870,2026-01-27T06:41:24Z,90.32,utilities,IN,True,False
txn_0000028,card_00707,2026-01-13T00:06:53Z,76.49,utilities,GB,True,False
txn_0000029,card_00419,2026-01-06T08:42:26Z,64.9,restaurant,DE,True,False
txn_0000030,card_00837,2026-01-07T21:28:40Z,113.12,entertainment,SG,False,False
txn_0000031,card_00372,2026-01-19T00:43:34Z,19.82,utilities,DE,True,False
txn_0000032,card_00083,2026-01-29T21:10:54Z,56.94,entertainment,DE,True,False
txn_0000033,card_00291,2026-01-05T00:00:31Z,259.2,fuel,IN,False,False
txn_0000034,card_00723,2026-01-11T04:20:01Z,113.32,atm_withdrawal,IN,True,False
txn_0000035,card_00697,2026-01-18T12:04:55Z,229.39,atm_withdrawal,DE,False,False
txn_0000036,card_00073,2026-01-26T03:33:56Z,153.28,electronics,AE,False,False
txn_0000037,card_00727,2026-01-25T04:43:58Z,13.42,fuel,DE,False,False
txn_0000038,card_00110,2026-01-25T09:17:16Z,23.11,pharmacy,GB,True,False
txn_0000039,card_00812,2026-01-27T04:21:55Z,5.24,pharmacy,GB,True,False
txn_0000040,card_00393,2026-01-20T08:40:26Z,66.97,entertainment,US,True,False
txn_0000041,card_00033,2026-01-05T02:47:53Z,133.22,travel,US,True,False
txn_0000042,card_00208,2026-01-10T04:10:20Z,12.35,utilities,SG,True,False
txn_0000043,card_00188,2026-01-27T09:39:47Z,9.92,utilities,SG,False,False
txn_0000044,card_00726,2026-01-29T12:17:11Z,44.48,atm_withdrawal,GB,False,False
txn_0000045,card_00279,2026-01-08T04:12:59Z,92.41,grocery,US,True,False
